arm_id,canary_cost_usd,smoke_5_tasks_1_attempt_est_usd,smoke_5_tasks_1_attempt_reserve_2x_usd,full_20_tasks_3_attempts_est_usd,full_20_tasks_3_attempts_reserve_1_5x_usd,expanded_25_tasks_3_attempts_est_usd,expanded_25_tasks_3_attempts_reserve_1_5x_usd
router-anthropic-haiku-sanitized,0.31465025,1.5732512500000002,3.1465025000000004,18.879015000000003,28.318522500000004,23.59876875,35.398153125
router-anthropic-opus,0.31503275,1.5751637499999998,3.1503274999999995,18.901964999999997,28.352947499999996,23.627456249999998,35.441184375
router-anthropic-sonnet,0.2929825,1.4649124999999998,2.9298249999999997,17.57895,26.368425,21.973687499999997,32.960531249999995
router-deepseek-flash,0.1148,0.574,1.148,6.888,10.332,8.61,12.915
router-deepseek-pro,0.09217900000000001,0.46089500000000005,0.9217900000000001,5.530740000000001,8.29611,6.913425000000001,10.370137500000002
router-gemini-3.1-pro,0.2910615,1.4553075,2.910615,17.46369,26.195535,21.8296125,32.74441875
router-gemini-flash,2.451235,12.256175,24.51235,147.07410000000002,220.61115,183.842625,275.7639375
router-glm-5.1,0.10728499999999999,0.5364249999999999,1.0728499999999999,6.437099999999999,9.655649999999998,8.046375,12.0695625
router-gpt-5.4,0.799355,3.9967750000000004,7.993550000000001,47.9613,71.94195,59.951625,89.9274375
router-gpt-5.5,2.5467899999999997,12.733949999999998,25.467899999999997,152.80739999999997,229.21109999999996,191.00924999999998,286.513875
router-grok-build-0.1,0.710016,3.55008,7.10016,42.60096,63.90144,53.2512,79.8768
router-kimi-k2.6,0.46516899999999994,2.3258449999999997,4.651689999999999,27.91014,41.86521,34.887674999999994,52.33151249999999
router-qwen-3.7-plus,0.443505,2.2175249999999997,4.4350499999999995,26.6103,39.91545,33.262875,49.8943125
