arm,model,successes,trials,success_rate,ci_low,ci_high,total_cost,cost_success,tasks_solved,cost_resolved,median_wall,mean_wall,median_agent_exec,agent_turn_med,tool_call_med,agent_turn_mean,tool_call_mean
Anthropic Sonnet,claude-sonnet-4-6,39,60,0.65,0.5236238380947751,0.7583239827618451,37.29553755,0.9562958346153846,15,2.48636917,255.66746899999998,529.0661775833333,159.302176,17.0,10.5,28.25,16.85
DeepSeek V4-Pro,deepseek-v4-pro / deepseek-v4-pro[1m],42,60,0.7,0.5749105303360957,0.801019897472731,2.010414849999999,0.04786702023809522,17,0.11825969705882348,617.469616,638.47200295,387.47585300000003,30.5,13.5,50.36666666666667,24.783333333333335
DeepSeek V4-Flash,deepseek-v4-flash,37,60,0.6166666666666667,0.4901736454040315,0.7291191041511176,1.1029806424,0.02981028763243243,16,0.06893629015,262.6607965,503.4192137333333,124.019619,38.0,18.0,51.78333333333333,25.633333333333333
