arm_id	total_tokens	failure_incomplete_tokens	unclean_tokens	failure_incomplete_token_share	unclean_token_share	failure_incomplete_spend_usd	unclean_spend_usd	failure_incomplete_spend_share	unclean_spend_share
router-anthropic-haiku-sanitized	109429347.0	71926188.0	71926188.0	0.6572842658012022	0.6572842658012022	54.82108875	54.82108875	0.6564517433714906	0.6564517433714906
router-kimi-k2.6	2924352.0	1644798.0	1644798.0	0.5624487065852538	0.5624487065852538	22.069951559739	22.069951559738996	0.6282090275546384	0.6282090275546383
router-gemini-flash	17785611.0	9188618.0	10092876.0	0.5166321246990053	0.5674742352118237	24.259446419889	26.472855354953	0.5572406600157447	0.6080827705285639
router-grok-build-0.1	4665975.0	2563589.0	2563589.0	0.5494219321792337	0.5494219321792337	29.834704003353	29.834704003353	0.5612899951350809	0.5612899951350809
router-qwen-3.7-plus	4339606.0	1976075.0	2310427.0	0.455358159243028	0.5324047851348717	16.469229270294	19.161575078779002	0.47129850196657075	0.548345127858391
router-anthropic-opus	34949225.0	7630420.0	7630420.0	0.21832873261138122	0.21832873261138122	30.73625875	30.736258749999998	0.47658815850198516	0.4765881585019851
router-anthropic-fable-5	20770104.0	3470798.0	4672729.0	0.16710547043962803	0.22497378925016456	7.3255975	17.380205500000002	0.19438014299599626	0.4611728709350741
router-anthropic-sonnet	42855557.0	17325773.0	17325773.0	0.4042829964851466	0.4042829964851466	23.3152278	23.315227800000002	0.4416456818509207	0.44164568185092073
router-glm-5.2	3404789.0	1376774.0	1958047.0	0.40436397086574233	0.5750861507130104	6.8720406	8.2281598	0.2714436297347802	0.3250099485951528
router-gemini-3.1-pro	25631834.0	6127265.0	6479351.0	0.23904902786121351	0.2527853059597686	13.823080738776	14.461397372843003	0.2974662903531183	0.3112025684516729
router-gpt-5.5	34085319.0	7334481.0	8501027.0	0.21518006036557852	0.24940435499518135	41.637891070511	47.93375234852499	0.2263435277281203	0.2605678223577251
router-deepseek-flash	104396891.0	64548412.0	64548412.0	0.6182982211606283	0.6182982211606283	13.8845388632	13.8845388632	0.24446597449966964	0.24446597449966964
router-deepseek-pro	45340305.0	12143532.0	12143532.0	0.2678308405733045	0.2678308405733045	12.289070911	12.289070911000003	0.24364218182315214	0.24364218182315223
router-gpt-5.4	32878313.0	5679651.0	6595941.0	0.172747640671223	0.20061677130453742	34.485415576598	39.603489146806	0.1877813084287655	0.21565043906207979
router-glm-5.1	1894923.0	545641.0	586877.0	0.28794890346467905	0.3097102098607701	3.9385246	4.095200999999999	0.19404437033179878	0.20176354857023174
