arm_id	backend_model	provider	success_count	trial_count	pass_rate	recorded_cost_usd	adjusted_cost_usd	known_accounting_gap_usd	mean_adjusted_cost_per_attempt_usd	mean_adjusted_cost_per_3_attempt_task_usd	cost_per_clean_success_usd	failure_incomplete_spend_usd	unclean_spend_usd	failure_incomplete_spend_share	unclean_spend_share	failure_incomplete_tokens	unclean_tokens	failure_incomplete_token_share	unclean_token_share	unresolved_cost_count	cost_confidence
router-gpt-5.5	gpt-5.5	openai	44	60	0.7333333333333333	168.708375	183.958832348525	15.250457348525003	3.065980539142083	9.197941617426249	4.379972198774	41.637891070511	47.93375234852499	0.2263435277281203	0.2605678223577251	7334481.0	8501027.0	0.21518006036557852	0.24940435499518135	2	mixed
router-deepseek-flash	deepseek-v4-flash	deepseek	40	60	0.6666666666666666	56.35246	56.7953838632	0.44292386320000077	0.9465897310533333	2.83976919316	1.41988459658	13.8845388632	13.8845388632	0.24446597449966964	0.24446597449966964	64548412.0	64548412.0	0.6182982211606283	0.6182982211606283	0	medium
router-anthropic-fable-5	claude-fable-5	anthropic	39	60	0.65	25.64316325	37.68696425	12.043801000000002	0.6281160708333334	1.8843482125000004	1.018566601351	7.3255975	17.380205500000002	0.19438014299599626	0.4611728709350741	3470798.0	4672729.0	0.16710547043962803	0.22497378925016456	0	medium
router-anthropic-opus	claude-opus-4-7	anthropic	39	60	0.65	40.33090325	64.49228375	24.1613805	1.0748713958333334	3.2246141875000003	1.653648301282	30.73625875	30.736258749999998	0.47658815850198516	0.4765881585019851	7630420.0	7630420.0	0.21832873261138122	0.21832873261138122	2	mixed
router-gpt-5.4	gpt-5.4	openai	39	60	0.65	173.09483	183.646689146806	10.55185914680601	3.0607781524467668	9.1823344573403	4.832807609126	34.485415576598	39.603489146806	0.1877813084287655	0.21565043906207979	5679651.0	6595941.0	0.172747640671223	0.20061677130453742	0	low
router-glm-5.2	glm-5.2	zai-glm	38	60	0.6333333333333333	20.549075	25.3166398	4.767564800000002	0.42194399666666665	1.26583199	0.723332565714	6.8720406	8.2281598	0.2714436297347802	0.3250099485951528	1376774.0	1958047.0	0.40436397086574233	0.5750861507130104	0	medium
router-gemini-3.1-pro	gemini-3.1-pro-preview	google-gemini	38	60	0.6333333333333333	38.1007875	46.469402372843	8.368614872842997	0.7744900395473834	2.3234701186421503	1.290816732579	13.823080738776	14.461397372843003	0.2974662903531183	0.3112025684516729	6127265.0	6479351.0	0.23904902786121351	0.2527853059597686	0	low
router-deepseek-pro	deepseek-v4-pro	deepseek	37	60	0.6166666666666667	50.203188	50.439011911	0.23582391100000422	0.8406501985166667	2.52195059555	1.363216538135	12.289070911	12.289070911000003	0.24364218182315214	0.24364218182315223	12143532.0	12143532.0	0.2678308405733045	0.2678308405733045	0	medium
router-glm-5.1	glm-5.1	zai-glm	36	60	0.6	18.65261	20.297031	1.6444210000000012	0.33828385	1.01485155	0.579915171429	3.9385246	4.095200999999999	0.19404437033179878	0.20176354857023174	545641.0	586877.0	0.28794890346467905	0.3097102098607701	5	mixed
router-grok-build-0.1	grok-build-0.1	xai	36	60	0.6	38.149845	53.153814003353	15.003969003353	0.8858969000558833	2.6576907001676497	1.476494833426	29.834704003353	29.834704003353	0.5612899951350809	0.5612899951350809	2563589.0	2563589.0	0.5494219321792337	0.5494219321792337	1	mixed
router-qwen-3.7-plus	qwen3.7-plus	dashscope-qwen	33	60	0.55	20.43072	34.944370078779	14.513650078779001	0.5824061679796501	1.7472185039389503	1.092011564962	16.469229270294	19.161575078779002	0.47129850196657075	0.548345127858391	1976075.0	2310427.0	0.455358159243028	0.5324047851348717	1	mixed
router-kimi-k2.6	kimi-k2.6	moonshot-kimi	30	60	0.5	25.98573	35.131541559739	9.145811559738998	0.5855256926623167	1.75657707798695	1.171051385325	22.069951559739	22.069951559738996	0.6282090275546384	0.6282090275546383	1644798.0	1644798.0	0.5624487065852538	0.5624487065852538	0	low
router-anthropic-sonnet	claude-sonnet-4-6	anthropic	28	60	0.4666666666666667	37.394878	52.7917033	15.396825300000003	0.8798617216666667	2.6395851649999997	1.885417975	23.3152278	23.315227800000002	0.4416456818509207	0.44164568185092073	17325773.0	17325773.0	0.4042829964851466	0.4042829964851466	14	mixed
router-anthropic-haiku-sanitized	claude-haiku-4-5-20251001	anthropic	25	60	0.4166666666666667	83.51122425	83.51122425	0.0	1.3918537375	4.1755612125	3.34044897	54.82108875	54.82108875	0.6564517433714906	0.6564517433714906	71926188.0	71926188.0	0.6572842658012022	0.6572842658012022	0	high
router-gemini-flash	gemini-3.5-flash	google-gemini	13	60	0.21666666666666667	23.6669395	43.534953854953	19.868014354953	0.7255825642492167	2.17674769274765	4.837217094995	24.259446419889	26.472855354953	0.5572406600157447	0.6080827705285639	9188618.0	10092876.0	0.5166321246990053	0.5674742352118237	4	mixed
