arm_id	provider	backend_model	task_family	task_family_label	trial_count	success_count	pass_rate	exception_count	missing_or_reconstructed_cost_count	unresolved_cost_count	adjusted_cost_usd	unclean_adjusted_cost_usd	unclean_adjusted_cost_share	cost_per_success_usd	visible_token_sum	median_visible_tokens	median_success_visible_tokens	median_failure_visible_tokens	median_runtime_seconds
router-kimi-k2.6	moonshot-kimi	kimi-k2.6	security-crypto	Security, cryptography, and recovery	12	8	0.6666666666666666	2	1	0	5.307924225609	2.616474225609	0.49293737333049464	0.663490528201125	551542.0	37001.0	33817.5	49136.5	144.5269015
router-kimi-k2.6	moonshot-kimi	kimi-k2.6	systems-low-level	Systems, low-level, and polyglot implementation	6	3	0.5	3	0	0	5.2547250000000005	3.0647900000000003	0.5832446036662242	1.751575	295813.0	52074.5	54723.0	35464.0	496.7333995
router-kimi-k2.6	moonshot-kimi	kimi-k2.6	web-networking	Web, networking, and service configuration	6	5	0.8333333333333334	0	0	0	0.99212	0.130125	0.13115852921017618	0.198424	142128.0	21975.0	23569.0	20381.0	103.4568985
router-qwen-3.7-plus	dashscope-qwen	qwen3.7-plus	build-packaging	Build, packaging, and dependency modernization	6	5	0.8333333333333334	1	1	0	5.1403558084859995	3.3290458084859997	0.6476294506676399	1.0280711616971998	702506.0	57408.0	27948.0	86868.0	289.015404
router-qwen-3.7-plus	dashscope-qwen	qwen3.7-plus	concurrency-async	Concurrency and async control flow	3	1	0.3333333333333333	0	0	0	1.583405	0.88019	0.5558843126047979	1.583405	131193.0	44515.0	50135.0	40529.0	316.911366
router-qwen-3.7-plus	dashscope-qwen	qwen3.7-plus	data-processing	Data processing and integration	3	3	1.0	0	0	0	0.92245	0	0.0	0.30748333333333333	104406.0	27837.0	27837.0	0.0	227.266539
router-qwen-3.7-plus	dashscope-qwen	qwen3.7-plus	database-storage	Database and storage operations	6	3	0.5	3	3	0	2.538016974806	1.364306974806	0.5375484042656115	0.8460056582686667	319222.0	51407.5	33999.0	55442.0	1510.9176625
router-qwen-3.7-plus	dashscope-qwen	qwen3.7-plus	language-implementation	Language implementation and interpreters	3	0	0.0	3	3	0	3.8309270879060002	3.8309270879060002	1.0		475748.0	157579.0	0.0	157579.0	2460.92608
router-qwen-3.7-plus	dashscope-qwen	qwen3.7-plus	ml-scientific	ML, scientific computing, and retrieval	12	0	0.0	9	9	0	6.847350472772	6.847350472772	1.0		851249.0	49864.0	0.0	49864.0	1019.7346555
router-qwen-3.7-plus	dashscope-qwen	qwen3.7-plus	optimization-finance	Optimization and quantitative planning	3	3	1.0	0	0	0	1.098855	0	0.0	0.36628499999999997	140359.0	42602.0	42602.0	0.0	557.451874
router-qwen-3.7-plus	dashscope-qwen	qwen3.7-plus	security-crypto	Security, cryptography, and recovery	12	10	0.8333333333333334	2	0	0	5.232375	0.867575	0.16580902553811605	0.5232375	820075.0	59285.0	59285.0	64813.5	190.839087
router-qwen-3.7-plus	dashscope-qwen	qwen3.7-plus	systems-low-level	Systems, low-level, and polyglot implementation	6	3	0.5	1	1	0	5.804064734811	1.737134734811	0.299296237065069	1.934688244937	493026.0	74290.0	119485.0	50038.0	865.7919320000001
router-qwen-3.7-plus	dashscope-qwen	qwen3.7-plus	web-networking	Web, networking, and service configuration	6	5	0.8333333333333334	0	0	0	1.94657	0.305045	0.15670898041169853	0.389314	301822.0	49396.5	53956.0	44837.0	182.106307
