phase	arm_id	backend_model	provider	routing_path	success_count	clean_success_count	trial_count	pass_rate	recorded_cost_usd	adjusted_cost_usd	known_accounting_gap_usd	mean_adjusted_cost_per_attempt_usd	mean_adjusted_cost_per_3_attempt_task_usd	cost_per_clean_success_usd	failure_incomplete_spend_usd	unclean_spend_usd	failure_incomplete_spend_share	unclean_spend_share	failure_incomplete_tokens	unclean_tokens	failure_incomplete_token_share	unclean_token_share	median_wall_clock_seconds	recorded_artifact_count	fallback_or_reconstructed_count	unresolved_cost_count	cost_confidence
phase1	arm-a-anthropic	claude-sonnet-4-6	anthropic	phase1_direct	39	38	60	0.65	37.29553755	37.29553755	0.0	0.6215922925	1.8647768775000002	0.9814615144736841	16.85471305	18.13218775	0.45192304916918946	0.48617579853062076	8373380.0	8976499.0	0.17629608110523384	0.18899436019206706	255.66746899999998	60	0	0	high
phase1	arm-b-deepseek-pro	deepseek-v4-pro	deepseek	phase1_direct	42	41	60	0.7	2.01041485	2.01041485	0.0	0.033506914166666665	0.1005207425	0.04903450853658537	0.568349482	0.598756475	0.28270258847321983	0.2978273240470741	19764503.0	21346538.0	0.2057782593076581	0.2222496276220443	617.469616	60	0	0	high
phase1	arm-c-deepseek-flash	deepseek-v4-flash	deepseek	phase1_direct	37	36	60	0.6166666666666667	1.1029806424000002	1.1029806424000002	0.0	0.018383010706666668	0.055149032120000004	0.030638351177777783	0.6080285176	0.6160239736	0.5512594638805058	0.558508417935223	60645266.0	61315483.0	0.4527866035542125	0.45779054366512395	262.6607965	60	0	0	high
phase2	arm-anthropic-haiku	claude-haiku-4-5-20251001	anthropic	phase2_direct	26	25	60	0.43333333333333335	14.310609750000001	14.310609750000001	0.0	0.2385101625	0.7155304875	0.57242439	10.86021565	11.60174995	0.7588925866698307	0.810709686916031	119029677.0	127437506.0	0.7563082349151982	0.8097311330589847	154.678966	60	0	0	high
phase2	arm-anthropic-opus	claude-opus-4-7	anthropic	phase2_direct	45	43	60	0.75	50.92816825	68.47110252299031	17.542934272990305	1.1411850420498384	3.423555126149515	1.592351221464891	10.251495367330433	26.274641022990306	0.14972002771371065	0.3837332838940071	10196721.0	35228208.0	0.09532665332954485	0.32933990950984127	246.828462	56	3	1	mixed
phase2	arm-anthropic-sonnet	claude-sonnet-4-6	anthropic	phase2_direct	40	39	60	0.6666666666666666	28.362903499999998	29.817549660881724	1.454646160881724	0.4969591610146954	1.4908774830440863	0.7645525554072237	10.792723766401808	11.605978260881724	0.36195877559184586	0.3892331325973392	7799106.0	9226338.0	0.14904066148158468	0.17631501848707803	259.290067	55	5	0	medium
phase2	arm-deepseek-flash	deepseek-v4-flash	deepseek	phase2_direct	35	35	60	0.5833333333333334	0.7161240352000001	0.7161240352000001	0.0	0.011935400586666669	0.03580620176	0.020460686720000003	0.30031676640000005	0.30031676640000005	0.41936417664871023	0.41936417664871023	14115957.0	14115957.0	0.20495425423372082	0.20495425423372082	283.3964105	60	0	0	high
phase2	arm-deepseek-pro	deepseek-v4-pro[1m]	deepseek	phase2_direct	39	38	60	0.65	1.712667703	1.712667703	0.0	0.028544461716666667	0.08563338515	0.045070202710526315	0.583099491	0.614971999	0.3404627120477673	0.35907257311081553	22282096.0	22592025.0	0.2917911955286708	0.2958498152132375	566.5992484999999	60	0	0	high
phase3	router-gpt-5.5	gpt-5.5	openai	litellm_router	44	42	60	0.7333333333333333	168.708375	183.958832348525	15.250457348525003	3.065980539142083	9.197941617426249	4.379972198774	41.637891070511	47.93375234852499	0.2263435277281203	0.2605678223577251	7334481.0	8501027.0	0.21518006036557852	0.24940435499518135				2	mixed
phase3	router-deepseek-flash	deepseek-v4-flash	deepseek	litellm_router	40	40	60	0.6666666666666666	56.35246	56.7953838632	0.44292386320000077	0.9465897310533333	2.83976919316	1.41988459658	13.8845388632	13.8845388632	0.24446597449966964	0.24446597449966964	64548412.0	64548412.0	0.6182982211606283	0.6182982211606283				0	medium
phase3	router-anthropic-fable-5	claude-fable-5	anthropic	litellm_router	39	37	60	0.65	25.64316325	37.68696425	12.043801000000002	0.6281160708333334	1.8843482125000004	1.018566601351	7.3255975	17.380205500000002	0.19438014299599626	0.4611728709350741	3470798.0	4672729.0	0.16710547043962803	0.22497378925016456				0	medium
phase3	router-anthropic-opus	claude-opus-4-7	anthropic	litellm_router	39	39	60	0.65	40.33090325	64.49228375	24.1613805	1.0748713958333334	3.2246141875000003	1.653648301282	30.73625875	30.736258749999998	0.47658815850198516	0.4765881585019851	7630420.0	7630420.0	0.21832873261138122	0.21832873261138122				2	mixed
phase3	router-gpt-5.4	gpt-5.4	openai	litellm_router	39	38	60	0.65	173.09483	183.646689146806	10.55185914680601	3.0607781524467668	9.1823344573403	4.832807609126	34.485415576598	39.603489146806	0.1877813084287655	0.21565043906207979	5679651.0	6595941.0	0.172747640671223	0.20061677130453742				0	low
phase3	router-glm-5.2	glm-5.2	zai-glm	litellm_router	38	35	60	0.6333333333333333	20.549075	25.3166398	4.767564800000002	0.42194399666666665	1.26583199	0.723332565714	6.8720406	8.2281598	0.2714436297347802	0.3250099485951528	1376774.0	1958047.0	0.40436397086574233	0.5750861507130104				0	medium
phase3	router-gemini-3.1-pro	gemini-3.1-pro-preview	google-gemini	litellm_router	38	36	60	0.6333333333333333	38.1007875	46.469402372843	8.368614872842997	0.7744900395473834	2.3234701186421503	1.290816732579	13.823080738776	14.461397372843003	0.2974662903531183	0.3112025684516729	6127265.0	6479351.0	0.23904902786121351	0.2527853059597686				0	low
phase3	router-deepseek-pro	deepseek-v4-pro	deepseek	litellm_router	37	37	60	0.6166666666666667	50.203188	50.439011911	0.23582391100000422	0.8406501985166667	2.52195059555	1.363216538135	12.289070911	12.289070911000003	0.24364218182315214	0.24364218182315223	12143532.0	12143532.0	0.2678308405733045	0.2678308405733045				0	medium
phase3	router-glm-5.1	glm-5.1	zai-glm	litellm_router	36	35	60	0.6	18.65261	20.297031	1.6444210000000012	0.33828385	1.01485155	0.579915171429	3.9385246	4.095200999999999	0.19404437033179878	0.20176354857023174	545641.0	586877.0	0.28794890346467905	0.3097102098607701				5	mixed
phase3	router-grok-build-0.1	grok-build-0.1	xai	litellm_router	36	36	60	0.6	38.149845	53.153814003353	15.003969003353	0.8858969000558833	2.6576907001676497	1.476494833426	29.834704003353	29.834704003353	0.5612899951350809	0.5612899951350809	2563589.0	2563589.0	0.5494219321792337	0.5494219321792337				1	mixed
phase3	router-qwen-3.7-plus	qwen3.7-plus	dashscope-qwen	litellm_router	33	32	60	0.55	20.43072	34.944370078779	14.513650078779001	0.5824061679796501	1.7472185039389503	1.092011564962	16.469229270294	19.161575078779002	0.47129850196657075	0.548345127858391	1976075.0	2310427.0	0.455358159243028	0.5324047851348717				1	mixed
phase3	router-kimi-k2.6	kimi-k2.6	moonshot-kimi	litellm_router	30	30	60	0.5	25.98573	35.131541559739	9.145811559738998	0.5855256926623167	1.75657707798695	1.171051385325	22.069951559739	22.069951559738996	0.6282090275546384	0.6282090275546383	1644798.0	1644798.0	0.5624487065852538	0.5624487065852538				0	low
phase3	router-anthropic-sonnet	claude-sonnet-4-6	anthropic	litellm_router	28	28	60	0.4666666666666667	37.394878	52.7917033	15.396825300000003	0.8798617216666667	2.6395851649999997	1.885417975	23.3152278	23.315227800000002	0.4416456818509207	0.44164568185092073	17325773.0	17325773.0	0.4042829964851466	0.4042829964851466				14	mixed
phase3	router-anthropic-haiku-sanitized	claude-haiku-4-5-20251001	anthropic	litellm_router	25	25	60	0.4166666666666667	83.51122425	83.51122425	0.0	1.3918537375	4.1755612125	3.34044897	54.82108875	54.82108875	0.6564517433714906	0.6564517433714906	71926188.0	71926188.0	0.6572842658012022	0.6572842658012022				0	high
phase3	router-gemini-flash	gemini-3.5-flash	google-gemini	litellm_router	13	9	60	0.21666666666666667	23.6669395	43.534953854953	19.868014354953	0.7255825642492167	2.17674769274765	4.837217094995	24.259446419889	26.472855354953	0.5572406600157447	0.6080827705285639	9188618.0	10092876.0	0.5166321246990053	0.5674742352118237				4	mixed
