phase	arm_id	backend_model	provider	routing_path	success_count	clean_success_count	trial_count	pass_rate	recorded_cost_usd	adjusted_cost_usd	known_accounting_gap_usd	mean_adjusted_cost_per_attempt_usd	mean_adjusted_cost_per_3_attempt_task_usd	cost_per_clean_success_usd	failure_incomplete_spend_usd	unclean_spend_usd	failure_incomplete_spend_share	unclean_spend_share	failure_incomplete_tokens	unclean_tokens	failure_incomplete_token_share	unclean_token_share	median_wall_clock_seconds	recorded_artifact_count	fallback_or_reconstructed_count	unresolved_cost_count	cost_confidence
phase1	arm-a-anthropic	claude-sonnet-4-6	anthropic	phase1_direct	39	38	60	0.65	37.29553755	37.29553755	0.0	0.6215922925	1.8647768775000002	0.9814615144736841	16.85471305	18.13218775	0.45192304916918946	0.48617579853062076	8373380.0	8976499.0	0.17629608110523384	0.18899436019206706	255.66746899999998	60	0	0	high
phase1	arm-b-deepseek-pro	deepseek-v4-pro	deepseek	phase1_direct	42	41	60	0.7	2.01041485	2.01041485	0.0	0.033506914166666665	0.1005207425	0.04903450853658537	0.568349482	0.598756475	0.28270258847321983	0.2978273240470741	19764503.0	21346538.0	0.2057782593076581	0.2222496276220443	617.469616	60	0	0	high
phase1	arm-c-deepseek-flash	deepseek-v4-flash	deepseek	phase1_direct	37	36	60	0.6166666666666667	1.1029806424000002	1.1029806424000002	0.0	0.018383010706666668	0.055149032120000004	0.030638351177777783	0.6080285176	0.6160239736	0.5512594638805058	0.558508417935223	60645266.0	61315483.0	0.4527866035542125	0.45779054366512395	262.6607965	60	0	0	high
