model_family	direct_phase	direct_arm_id	direct_backend_model	direct_routing_path	router_phase	router_arm_id	router_backend_model	router_routing_path	direct_success_count	router_success_count	delta_success_count	direct_pass_rate	router_pass_rate	delta_pass_rate_pct_points	direct_adjusted_cost_usd	router_adjusted_cost_usd	router_vs_direct_cost_ratio	direct_cost_per_clean_success_usd	router_cost_per_clean_success_usd	router_vs_direct_cost_per_clean_success_ratio	direct_median_wall_clock_seconds	router_median_wall_clock_seconds	router_vs_direct_wall_clock_ratio	direct_unclean_spend_share	router_unclean_spend_share	router_exception_count	router_normal_failure_count	router_suspect_noop_count	direct_cost_confidence	router_cost_confidence	comparison_status	interpretation	notes
Anthropic Sonnet	phase1	arm-a-anthropic	claude-sonnet-4-6	phase1_direct	phase3	router-anthropic-sonnet	claude-sonnet-4-6	litellm_router	39	28	-11	0.65	0.4666666666666667	-18.333333333333336	37.29553755	52.7917033	1.415496511592712	0.9814615144736841	1.885417975	1.9210309800186807	255.66746899999998	164.15025400000002	0.6420459147268361	0.48617579853062076	0.44164568185092073	23	9	0	high	mixed	ok	router-associated pass rate lower; adjusted cost broadly similar	Phase 1 direct baseline vs Phase 3 LiteLLM router.
Anthropic Sonnet	phase2	arm-anthropic-sonnet	claude-sonnet-4-6	phase2_direct	phase3	router-anthropic-sonnet	claude-sonnet-4-6	litellm_router	40	28	-12	0.6666666666666666	0.4666666666666667	-19.999999999999996	29.817549660881724	52.7917033	1.7704909994418006	0.7645525554072237	1.885417975	2.4660410349367936	259.290067	164.15025400000002	0.6330757514131847	0.3892331325973392	0.44164568185092073	23	9	0	medium	mixed	ok	router-associated pass rate lower; router run materially more expensive	Phase 2 direct Sonnet vs Phase 3 LiteLLM router.
DeepSeek Pro	phase1	arm-b-deepseek-pro	deepseek-v4-pro	phase1_direct	phase3	router-deepseek-pro	deepseek-v4-pro	litellm_router	42	37	-5	0.7	0.6166666666666667	-8.333333333333325	2.01041485	50.439011911	25.088857611154236	0.04903450853658537	1.363216538135	27.80116654208707	617.469616	325.727061	0.527519172700475	0.2978273240470741	0.24364218182315223	7	16	0	high	medium	ok	router-associated pass rate lower; router run materially more expensive	Phase 1 direct DeepSeek endpoint vs Phase 3 LiteLLM router.
DeepSeek Pro	phase2	arm-deepseek-pro	deepseek-v4-pro[1m]	phase2_direct	phase3	router-deepseek-pro	deepseek-v4-pro	litellm_router	39	37	-2	0.65	0.6166666666666667	-3.3333333333333326	1.712667703	50.439011911	29.45055355609751	0.045070202710526315	1.363216538135	30.246514463016066	566.5992484999999	325.727061	0.5748808560235851	0.35907257311081553	0.24364218182315223	7	16	0	high	medium	ok	pass rate broadly similar; router run materially more expensive; router run had lower unclean spend share	Phase 2 direct DeepSeek endpoint vs Phase 3 LiteLLM router.
DeepSeek Flash	phase1	arm-c-deepseek-flash	deepseek-v4-flash	phase1_direct	phase3	router-deepseek-flash	deepseek-v4-flash	litellm_router	37	40	3	0.6166666666666667	0.6666666666666666	4.999999999999993	1.1029806424000002	56.7953838632	51.49263883690439	0.030638351177777783	1.41988459658	46.343374953213946	262.6607965	298.7436105	1.13737418937584	0.558508417935223	0.24446597449966964	8	12	0	high	medium	ok	pass rate broadly similar; router run materially more expensive; router run had lower unclean spend share	Phase 1 direct DeepSeek endpoint vs Phase 3 LiteLLM router.
DeepSeek Flash	phase2	arm-deepseek-flash	deepseek-v4-flash	phase2_direct	phase3	router-deepseek-flash	deepseek-v4-flash	litellm_router	35	40	5	0.5833333333333334	0.6666666666666666	8.333333333333325	0.7161240352000001	56.7953838632	79.30942276967161	0.020460686720000003	1.41988459658	69.39574492346266	283.3964105	298.7436105	1.054154532066665	0.41936417664871023	0.24446597449966964	8	12	0	high	medium	ok	router-associated pass rate higher; router run materially more expensive; router run had lower unclean spend share	Phase 2 direct DeepSeek endpoint vs Phase 3 LiteLLM router.
Anthropic Opus	phase2	arm-anthropic-opus	claude-opus-4-7	phase2_direct	phase3	router-anthropic-opus	claude-opus-4-7	litellm_router	45	39	-6	0.75	0.65	-9.999999999999998	68.47110252299031	64.49228375	0.9418905402953844	1.592351221464891	1.653648301282	1.038494698274366	246.828462	292.816871	1.1863172854028479	0.3837332838940071	0.4765881585019851	7	14	0	mixed	mixed	ok	router-associated pass rate lower; adjusted cost broadly similar	Phase 2 direct Opus vs Phase 3 LiteLLM router.
Anthropic Haiku	phase2	arm-anthropic-haiku	claude-haiku-4-5-20251001	phase2_direct	phase3	router-anthropic-haiku-sanitized	claude-haiku-4-5-20251001	litellm_router	26	25	-1	0.43333333333333335	0.4166666666666667	-1.6666666666666663	14.310609750000001	83.51122425	5.835616071495486	0.57242439	3.34044897	5.835616071495487	154.678966	149.67999650000002	0.9676816465142392	0.810709686916031	0.6564517433714906	0	35	0	high	high	ok	pass rate broadly similar; router run materially more expensive; router run had lower unclean spend share	Phase 2 direct Haiku vs Phase 3 router plus sanitizer path.
